name,sample_text,lang_code,asjp-name,wals_family,ethnologue_family,glottolog_family,asjp_num,latitude,longitude,num_speakers,wals_code,iso_code,country,continent,top_level_family,manual_edit,wikipedia_link,ethnologue_link
Éwé,"Wodzi amegbetɔwo katã 
ablɔɖeviwoe eye wodzena bubu kple gomekpɔkpɔ sɔsɔe. Susu kple dzitsinya 
le wo dometɔ ɖesiaɖe si eyata wodze be woanɔ anyi le ɖekawɔwɔ blibo me.",ee,EWE,NC.GBE,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,LeftBank,Gbe","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Gbe,WesternGbe,Eweic}",1,6.33,0.42,4965320,ewe,ewe,GHA,Africa,Atlantic-Congo,,Éwé_language,
Aceh,"Bandum manusia lahee 
bebah merdeka deungon hak ngon martabat nyang sama. Ngon akai 
taseumikee, ngon atee tameurasa bandum geutanyoe lagee syedara.",ace,ACEH,An.MALAYO-SUMBAWAN,"Austronesian,Malayo-Polynesian,Malayo-Chamic,Chamic,Acehnese","Austronesian,Malayo-Polynesian,Malayo-Sumbawan,NorthandEastMalayo-Sumbawan,Aceh-Chamic}",2,5.5,95.5,3500000,ace,ace,,Oceania,Austronesian,,Aceh_language,
Afar,"Karaamat kee garwa 
wagittaamal seehada inkih gide akkuk, currik taabuke. Usun kas kee cissi
 loonuuh, keenik mariiy mara lih toobokinni kasat gexsitam faxximta.",aa,AFAR,AA.LOWLAND_EAST_CUSHITIC,"Afro-Asiatic,Cushitic,East,Saho-Afar","Afro-Asiatic,Cushitic,EastCushitic,LowlandEastCushitic,Saho-Afar}",2,12,42,2541000,qaf,aar,DJI,Africa,Afro-Asiatic,,Afar_language,
Afrikaans,"Alle menslike wesens word 
vry, met gelyke waardigheid en regte, gebore. Hulle het rede en gewete 
en behoort in die gees van broederskap teenoor mekaar op te tree.",af,AFRIKAANS,IE.GERMANIC,"Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian","Indo-European,ClassicalIndo-European,Germanic,NorthwestGermanic,WestGermanic,Macro-Dutch,Middle-ModernDutch,ModernDutch,GlobalDutch,Afrikaansic}",2,-31,22,7331780,afr,afr,ZAF,Africa,Indo-European,,Afrikaans_language,
Aguaruna,"Ashi aents aidauk agkan 
akinui, betek eme anentsa aentsmasa diyam atanmash, tuja aents 
anentaibau, aents dutikatasa wakej amu yupichu dutimainnum, tuja ni 
wakejamun takakush tikish bakushminnum, nuniak tikish aidaujaish shiig 
yatsuta anmamut ati tusa.",agr,AGUARUNA,Jiv.JIVAROAN,Jivaroan,Chicham},1,-5,-78,53400,agr,agr,PER,South America,Chicham,,Aguaruna_language,
Aja,"Agbetɔwo pleŋu vanɔ 
gbɛmɛ ko vovoɖeka gbeswɛgbeswɛ, sɔto amɛnyinyi ko acɛwo gomɛ; wo xɔnɔ 
susunywin ko jimɛnywi so esexwe. Wo ɖo a wɛ nɔvi ɖaɖa wowo nɔnɔwo gbɔ.",ajg,AJA,CSu.KRESH,"Nilo-Saharan,Satellite-Core,Satellites,CentralSudanic,West,Kresh",Kresh-Aja},2,7.33,25.67,200,aja,aja,SSD,Africa,Kresh-Aja,,Aja_language,
"Albanian, Tosk","Të gjithë njerëzit 
lindin të lirë dhe të barabartë në dinjitet dhe në të drejta. Ata kanë 
arsye dhe ndërgjegje dhe duhet të sillen ndaj njëri tjetrit me frymë 
vëllazërimi.",als,ALBANIAN,IE.ALBANIAN,"Indo-European,Albanian,Tosk","Indo-European,ClassicalIndo-European,Albanian,Albanian-Tosk}",3,41,20,1826830,alb,als,ALB,Europe,Indo-European,,Tosk_Albanian,
Alemannisch (Elsassisch),"Àlli Mensche kùmme mìt 
de gliche Wìrde ùn Rachte ùff d’Walt. Sie hàn àlli Vernùnft ùn Gewìsse 
ùn selle mìt Brìederlichkeit de àndere gejjenìwwer hàndle.",gsw,ALSATIAN,IE.GERMANIC,"Indo-European,Germanic,West,HighGerman,German,UpperGerman,Alemannic","Indo-European,ClassicalIndo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,UpperGerman,Middle-ModernHighGerman,ModernHighGerman,Alemannic,SouthAlemannic}",1,48.5,7.5,6434200,alt,gsw,FRA,Europe,Indo-European,,Alemannisch_language,
Amarakaeri,"Aya'da aratbut katepi' 
eka'ta' on'pakpo ka'dik o̱'ne. Nog aratbut huadak o̱'nepo ko̱nigti 
opudo̱mey huadak mo'e̱. Aya'da huadak eka' nopoe̱'dik o̱'ne kenpa'ti 
dakhuea' eka' nopoe̱'dik o̱'ne kenpa'ti ko̱nig huama'buytaj o 
'tihuapokika' ko̱nigti nogo̱meytaj tihuapokika 'dik o̱'ne.",amr,AMARAKAERI,Har.HARAKMBET,Harakmbut,Harakmbut},3,-12.5,-70.5,1910,amk,amr,PER,South America,Harakmbut,,Amarakaeri_language,
Ambonese Malay,"Samua orang dilahirkan 
merdeka deng pung martabat deng hak-hak yang sama. Dorang dapa karunia 
akal deng hati nurani deng hendaknya batamang satu deng yang laeng dalam
 semangat basodara.",abs,,,,,,,,1000000,,,,Asia,Austronesian,y,Ambonese_Malay,https://www.ethnologue.com/language/abs/
Amharic,የሰው፡ልጅ፡ሁሉ፡ሲወለድ፡ነጻና፡በክብርና፡በመብትም፡እኩልነት፡ያለው፡ነው።፡የተፈጥሮ፡ማስተዋልና፡ሕሊና፡ስላለው፡አንዱ፡ሌላውን፡በወንድማማችነት፡መንፈስ፡መመልከት፡ይገባዋል።,am,AMHARIC,AA.SEMITIC,"Afro-Asiatic,Semitic,South,Ethiopian,South,Transversal,Amharic-Argobba","Afro-Asiatic,Semitic,WestSemitic,Ethiosemitic,SouthEthiopic,TransversalSouthEthiopic,Amharic-Argobba}",1,10,38,32345260,amh,amh,ETH,Africa,Afro-Asiatic,,Amharic_language,
